label;county_id;country_id
Ibru;1;188
Iclod;1;188
Ighiel;1;188
Ighiu;1;188
Ignățești;1;188
Iliești;1;188
Incești (Avram Iancu);1;188
Incești (Poșaga);1;188
Inoc;1;188
Inuri;1;188
Isca;1;188
Ivăniș;1;188
Izbicioara;1;188
Izbita;1;188
Izlaz;1;188
Izvoarele (Gârda de Sus);1;188
Izvoarele (Livezile);1;188
Izvoru Ampoiului;1;188
Întregalde;1;188
Jeflești;1;188
Jidoștina;1;188
Jidvei;1;188
Jojei;1;188
Joldișești;1;188
Jurcuiești;1;188
Laz (Săsciori);1;188
Laz (Vințu de Jos);1;188
Lazuri (Lupșa);1;188
Lazuri (Sohodol);1;188
Lăzești (Vadu Moților);1;188
Lăzești (Scărișoara);1;188
Lehești;1;188
Leorinț;1;188
Lespezea;1;188
Limba;1;188
Lipaia;1;188
Livezile;1;188
Lodroman;1;188
Loman;1;188
Lopadea Nouă;1;188
Lopadea Veche;1;188
Luminești;1;188
Lunca (Lupșa);1;188
Lunca (Valea Lungă);1;188
Lunca (Vidra);1;188
Lunca (Poșaga);1;188
Lunca Ampoiței;1;188
Lunca Bisericii;1;188
Lunca de Jos;1;188
Lunca Goiești;1;188
Lunca Largă (Ocoliș);1;188
Lunca Largă (Bistra);1;188
Lunca Merilor;1;188
Lunca Meteșului;1;188
Lunca Mureșului;1;188
Lunca Târnavei;1;188
Lunca Vesești;1;188
Lupăiești;1;188
Lupșa;1;188
Lupșeni;1;188
Lupu;1;188
Lupulești;1;188
Maței;1;188
Măcărești;1;188
Măghierat;1;188
Măgura (Bucium);1;188
Măgura (Galda de Jos);1;188
Măhăceni;1;188
Mămăligani;1;188
Mănărade;1;188
Mănăstire;1;188
Măncești;1;188
Mărgaia;1;188
Mărgineni;1;188
Mărinești;1;188
Mărtești;1;188
Mărtinie;1;188
Mătăcina;1;188
Mătișești (Horea);1;188
Mătișești (Ciuruleasa);1;188
Medrești;1;188
Medveș;1;188
Mereteu;1;188
Mesentea;1;188
Meșcreac;1;188
Meteș;1;188
Micoșlaca;1;188
Mihalț;1;188
Mihăiești;1;188
Mirăslău;1;188
Modolești;1;188
Modolești (Întregalde);1;188
Modolești (Vidra);1;188
Mogoș;1;188
Morărești (Ciuruleasa);1;188
Morărești (Sohodol);1;188
Morcănești;1;188
Muncelu;1;188
Munești;1;188
Muntari;1;188
Munună;1;188
Mușca;1;188
Nădăștia;1;188
Nămaș;1;188
Năpăiești;1;188
Necrilești;1;188
Necșești;1;188
Negești;1;188
Negrești;1;188
Nelegești;1;188
Nemeși;1;188
Nicorești;1;188
Niculești;1;188
Noșlac;1;188
Novăcești;1;188
Obreja;1;188
Ocna Mureș;1;188
Ocnișoara;1;188
Ocoale;1;188
Ocoliș;1;188
Odverem;1;188
Ohaba;1;188
Oidești;1;188
Oiejdea;1;188
Olteni;1;188
Oncești;1;188
Orăști;1;188
Orgești;1;188
Ormeniș;1;188
Pădure;1;188
Pădurea;1;188
Pănade;1;188
Păntești;1;188
Păștești;1;188
Pătrăhăițești;1;188
Pătrângeni;1;188
Pătrușești;1;188
Pătruțești;1;188
Pânca;1;188
Pârău Gruiului;1;188
Pârău lui Mihai;1;188
Pârâu-Cărbunări;1;188
Peleș;1;188
Perjești;1;188
Petelei;1;188
Petreasa;1;188
Petreni;1;188
Pețelca;1;188
Pianu de Jos;1;188
Pianu de Sus;1;188
Pirita;1;188
Pitărcești;1;188
Pițiga;1;188
Plai (Gârda de Sus);1;188
